genotype,day,fly,fly_id,alpha,beta,p0,log_alpha,log_beta,logit_p0,chamber_id,fly_id_64,var,exp_name,date,jumpdata
GD,7,20,27,0.2789434941,0.28953338433875003,0.37989723587499996,-1.27674604778029,-1.239484671385311,-0.4899844286538331,27,27,1,1893mb,2024-03-05,001000000100000000000000000000000100010000010100010100000010101000000000100000001110110010110000001000110001100001000000011011001000010001000000000101010000010000000100000110000000001100101000000000000000010101110001001000000010110001000100001010000101000100100001000001000000000100000000000000000110100000010010000000000000000000101111000001110010000010010000000000000100100000000000100001001000000000101000000111000000000000000011000000110100110000001000000000100000000001000000000100101010100000001000000100000110010010000001100000001000100000100001000100101010000000000000000010100001001000010000111100001100111000000001000010000100000100000101000000101001000000100101000000000000100110100000011010001110001001000100001000001010000010001001000000100011010000000000011000000000001000000110000011001100110000000001000010000000001000000101010000000000000000000001000101001110000010000000010000110000000000000001000001000000000100010001000100100000001110000001100000001000001000000001000000010000000110000110001110011010100000011000001000001000011011
GD,7,21,29,0.4003991235875,0.3455661473217125,0.1973875740375,-0.9152934203858746,-1.0625712002015058,-1.4027027629693856,29,29,1,1893mb,2024-03-05,000000000000000010000000000000000000000000000000101100000001000100010000011000100000000000000000000000000000001001000000011000000000000000000000000000000000000000000000000000000001000010000000010010000011100100000000000100000000001000000000001000010000000001000000000000000001000000000000110010001001000000000000000000001101000000000000100100010000010000011000000010000010000000000001000000000110101000000010000001000000000000000000000000010000000000000000000000000000100000100000000001000000010001100010011000010000000101101000000000100100001000000100000110100000000000001000000010000000110000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000100001000100010000000100000010100000000000000000000000100000000000000000000000000001000000010000000000000101000010000001000000000000000000000000000000000100111110010000011000000000000000100100000000000000011000000101000101110000000001100000000100000000000010010000000000000000000001010000000001000110010000000000110000000001000000100001110
GD,7,22,30,0.20492108935,0.2079127165875,0.58728656925,-1.5851303039482987,-1.5706369191417433,0.35275941378663,30,30,1,1893mb,2024-03-05,011011101101011101000101010110011000001000111001011100000001111000101101110111000000000000100101001000000000010000100000110111001001000000000000000000000001100010010001000001000100000000100011010100100011010010000111011110001001101011100001000110100000001000010100100000010111100100000100100110001010110111101000100000010100000000100010000010110011100010110000001000101000100110000001100100111110100011101010010001100000001100000000000000000001110000100100001000100000111011100110101010000000011000000101001011011000000011000101010011000000100001000011010110000101010110000010110000000011001000000111101001101100000100001000010011010010000011101101100010010110100001000001000101100000011100001000100100000001000000011001001000100110011110100000000100001001010010011110001000001001000000100000000000011011010010101000000100010100000000010101001100000100000101100010101000001011011001010000010111000010000000000110001010100110111000000011100010011101000000010011110001001010100100100100010111000000000110000101111011111010110111001100101011010110001110
GD,7,23,31,0.09521953284591252,0.84203713285,0.11411025519375,-2.351570181277867,-0.17193116494024924,-2.049427369505817,31,31,1,1893mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
GD,7,24,32,0.08988739913374999,1.1000126129,0.1441314124275,-2.409197512692939,0.095321646011315,-1.7813913754410908,32,32,1,1893mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000
GD,7,25,33,0.22829203706249998,0.3469399807,0.51082634125,-1.4771296053253797,-1.0586034802780913,0.04331213464751687,1,33,1,1899mb,2024-03-05,100110000100000100000100000000001000000001010111010000000000010110100000101110000000110000110001101101000000000000000011101000111000000011000010000000110000110000000000001000000000001100000000000001101010000111001101100100000000000100001000000000011000000000000101001100010100000011000010101001110000001001000100000000100010000000000000000001000000110000000000010000001000100000000010010000000000000101000000001010000011001001000000100100100100000000000000000000001001001010001000000000010000111000000000000000000000010000000000000010100001000000000000100101010100100000000000000001110000000000100110000110100000000001000000000000000000000001010100100100000000101000010010000000111000000000000000001000000000000000000000000001101010000000100000100100010000000000000100010010000010100010000000001010001100010010110000101000101101011000000000000100100000000000000001000010000000100001000000000000001000000000000000101000010000000100010000000000010101000000000000000011000000000000000000111010010000110011100100010011011110110010011000101101011111000001
GD,7,26,34,0.3295040797875,0.5649717127250001,0.44486012725,-1.1101665433635728,-0.5709796150624898,-0.2214601929963617,2,34,1,1899mb,2024-03-05,000000010010000010010001110011100010000000101000100010000000010001000000000100000000000100000000000100100001000001000100000010100100001000000000001000100001000001000000000001000000000000110000000000000110001010000000001001100000000000100101010000001000100000010000100100101011100000000000000111000000000110000000000000100000000010010010001000000000000000000000000000010001000000100000010110000000101010000100000000000000010000010000000100000000000000000001001000001000010001000000000111000000000000100100010000000000000001000010000000011000000000000010100000100000000100000000000000000000000010010000110000010010001000000000000000000100100010000000000100001001000000000000010001000000100001001101000000000000100100000000000001000000000100101010000011000000000000001001000000010000000100000000001000001001000000010000001000100100100001000100000000100000100000000000001000010000000000000000000010000000000010000000010000000000000010000001010001100000000000000000000000000000000000000010000000000000001000011101000000001001111011110100001001101000100111
GD,7,27,35,0.20822813995,0.28477283947499993,0.6561591605000001,-1.5691209736730363,-1.2560634710039775,0.6462245077955758,3,35,1,1899mb,2024-03-05,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000010000111010100001000001001000001001001010101000101100110000000101010000000000101011001010000011000100000100000000000000000101001001000010100000000100011100010010000001000100000100010010000000010010010001001111110101101000001100101111001110100001101100110101011000000010101001001010000010010000110100001010010010000010001010000010010000000010000000110111000110010001111000010000001001011101010010010001110111110101110001000101000010001010100100100110111001000101010000001000000100100010101000010100010001100000000000001000100101001111110000101101100000001001010000110100100000100010000000001001011001000011110010001001010001000001000000100100101010101010101101000111010111000100101010110010110111000010010010101000100000000110000001001001110000000110110100010101000001000010001001010100000100111001111000001101111000100110011110110111111101110111011010011
GD,7,28,37,0.32012864752375,0.7052964244,0.1974291748875,-1.139032340466446,-0.3491371043966205,-1.4024401948404404,5,37,1,1899mb,2024-03-05,100000000000000000000000000000100000000000000100000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000100000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000010000000000001000000000000000000000000000000100010000000000000000000000000000000000001000000000000000000000100000000000000000000100000000000000000000001001000100000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000001000000000010000000001000101100000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000010001010000000000000000000000100000000000000000000000000000000000000000000010000010000000000000000000000000000000010000000000100000000000000000000000001000000000010000000010000000000000000000100000000000000001110000011000001000000000001010
GD,7,29,38,0.13783944568749998,0.671411950125,0.5103926641250001,-1.981665708190311,-0.3983723957786925,0.04157664464075786,6,38,1,1899mb,2024-03-05,101000000000000000001000000000000000000000100000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000011100000000100000000000000000000000100001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000100100000010000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000100000000100000000000000000000000000000001100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000011010001001001010110100001000100001000000010000
