genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,7,38,0.27167316625000004,0.81048886375,0.38620298475,-1.3031555298489528,-0.2101176778761245,1.4531898118194488
GD,7,39,0.27973859725,0.528474206875,0.393226795,-1.2738996931212812,-0.6377612792620613,0.11402019474194638
GD,7,40,0.16744060000000002,0.20257488525,0.63989864375,-1.7871266174776643,-1.5966456570923764,-1.370278308360358
GD,7,41,0.17350689725,0.398246425625,0.264525354625,-1.7515379267830713,-0.9206843054362741,-0.4127770430664404
GD,7,42,0.321044981625,0.265931829475,0.42976788,-1.1361740359964694,-1.3245152832149854,-1.0153619039093729
GD,7,43,0.52367481325,0.4275791754125,0.27954425,-0.6468843727046831,-0.8496158021104951,-0.29173495132899363
GD,7,44,0.319285067,0.7121862697499999,0.268047451,-1.141670948284901,-0.33941578696793473,0.9060259910894553
GD,7,45,0.20590180724999999,0.172032267875,0.62061651875,-1.5803558876678268,-1.760073215839681,-1.5712921196198932
GD,7,46,0.12688475840000002,1.33378681675,0.2657491516375,-2.0644760186462396,0.28802212718911435,
GD,7,47,0.09066462818750001,1.2538407187499998,0.29701921,-2.4005879848331038,0.22621141560252095,
GD,7,48,0.22936143899999997,0.296038766375,0.595714485,-1.4724561834469343,-1.2172648657504608,-0.8662328755366058
GD,7,49,0.317943796125,0.449769773875,0.5732684637500001,-1.145880653567906,-0.7990194407477814,-0.20160094536111672
GD,7,50,0.180251382125,0.21122338012500003,0.70214747,-1.7134028350240074,-1.554839031927541,-1.3175669156766519
GD,7,51,0.37223501775,0.82771322125,0.384096116375,-0.9882298560453109,-0.1890885357376319,1.5695063365491875
GD,7,52,0.11132559425,0.52180515,0.6728672374999999,-2.1952960898142186,-0.6504610366463435,0.08727595692204994
GD,7,53,0.10869282999999999,0.40254044875,0.6652378962500001,-2.219229448392065,-0.9099596933838616,-0.3948909992631489
GD,7,54,0.38783746575,0.8871472757500001,0.197828756125,-0.9471689298292985,-0.1197442724057434,2.0619273631522983
GD,7,55,0.321058089375,0.77071640575,0.229070211125,-1.136133208439045,-0.2604347996075714,1.212360839170192
GD,7,56,0.048401872250000005,0.078726405375,0.48388911375000004,-3.0282167831564735,-2.541776660455436,-2.459778436182119
GD,7,57,0.167896326875,0.426691175,0.6835072937499999,-1.7844085919991708,-0.8516947709800283,-0.295364025130574
GD,7,58,0.181476221875,0.5489977975,0.61696695875,-1.7066306428128222,-0.5996608493203625,0.1966222065790032
GD,7,59,0.189092334125,0.41442239825,0.516383355,-1.6655198428755604,-0.8808695396664222,-0.3457129742221669
GD,7,60,0.21211253562500001,0.5654228862499999,0.51736703,-1.55063831672988,-0.5701813565616676,0.2632005164771593
GD,7,61,0.2334168415,0.36438765375000004,0.47420903499999995,-1.4549294044921015,-1.0095369952076305,-0.5563705752588715
GD,7,62,0.280086909625,0.52481014625,0.5757410162500001,-1.2726553324565117,-0.6447187079835083,0.09932215471433607
GD,7,63,0.22943993145125,0.24834093911250002,0.134262608,-1.4721140203363987,-1.3929527224410356,-1.1074802881231596
GD,7,64,0.465950853625,0.662030877375,0.25835609537500004,-0.7636751147422784,-0.4124430815724363,0.6723576592801113
GD,7,65,0.298618308125,0.399802718875,0.58152862375,-1.2085890825449708,-0.9167840563511673,-0.4062871804166863
GD,7,66,0.389542399625,0.796875757875,0.445036255,-0.9427825630489232,-0.22705649957697482,1.3668809574050438
