genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
KK,21,22,18,22,1,1973mb,2024-03-19,30,110110111100001100100001010100010000101000001000001000000000000001100010100011010000010100001010001100100001000001000100000010000000010000110000111001000000001001000011000000000000000001000000100000001100000111001000001010100111000000100001000001010000101000001000000010101001000000000000101010100000111000000111000010001101000100000010001001000000000000000000001000000000000000111000000000000100101000101011100000000010000000010010010010000110010011010011000100111010100010100010000000001100101101010000011000111001010111010001010110011000001000001100000000000000000000000000000000000000010001000011000000010100110100000001001001000000100010010001001000000010000000000000100111010101000001000000000000000101110100000110000000101000000001000001010000100010010010000001001001010010001101000000000000000001110000010010000000000010000010000011000111000001000010000000000000000001000010110000000000010111010000000000000000010000000000100000110000000000100000000000000000000010000000010000000000111000101010110101010110011111000000000100111111000101011100
KK,21,23,19,23,1,1973mb,2024-03-19,30,100000000000000000000000010000000000110000000000000000000000000001000000000000000010000000000000000000000000000100000000000000000000000000010000000000000000000000000010000010000010000000000000000000000110100100000001000000010000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000010000000001010000010000000000000000000000000100000000000000000000000000000000000000000000000000001000010000000000010000000000000000000000000000000000000000001010000000000000000101000000000000000000100000000000000000000000000000111000000000100000010000000000110000000000000100000000000000000001000000000001000100000000000001000001000000000100000000100000000000000010000000001000000101000010000011000010000000000000000000000000000000000000000000000000000000101000100000000000000000000001000000000100000000000000000100000000000000011010000000000001000000000000000000000000000000000000000000000000100000000100000000010000000001000000111110011000100000010001001000001110000
KK,21,24,20,24,1,1973mb,2024-03-19,30,110000100000011000000000000000000000000010001000000100100000001000000000000000000000100000000001000100001010010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000001000000010000100000000000000000000000000000010000000000000000000000100000000000000000000001000000000000000000100000000001000000010000000100000000000000000000000000000000100000000001000000000110011100000000010000000000000000000000000000100100000000000000000000000000000000000000001000000000010110000000000000000100000100000000000010001000100000000000000000000000010000000000000000000000101000000000010000100010000000000000000000000000000010000000000000010000100000000000000000000000000001000000000001000000000000000000000000001000000000000000000010001000000000100001000000000100000100000000001000000000000000000000010000000000000100100001000000000000000100000000001000000000000000100000000000000000000000000000010000000000000001000000000000000000000001000000100000010100000000000000000000000000001001000000000001001000000100000110000010011000
KK,21,25,29,25,1,1973mb,2024-03-19,30,101110001000001100001000100100001000000010010010101000110000001001010000000001001100011000110000000001111001000000100001001001001011010010000100000000000000000100111100000010000001000001100001000101100110111010001000000000100100101100000010001000010001000100100110001100100010000110010011001000000000000000001000000000001000011100000000001000100011000001010001001000101010000000000000001001000000000000101101000000010011100000100000000000001000010000000100000000110011000001100101000000000100100001010000010110010000000001000010000010110000100000000000000000000001000000000010100100010000100100010010110000111101010100010000000100000000010100010001101000000000000010000100000010000001000100000010000100000010000100110100010100010010100000001011101010001000011000101110000001000000000110000100100000100111110010000000100010000001000010001010010010010100000000000000000001000001000001110110010100100000000000011100110100110000100000001100001000101100101000001111110001000010011001000000100000000000101001110111111011111101011101001011000110100010111010
KK,21,26,30,26,1,1973mb,2024-03-19,30,011000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000101000000000100000000000000000000000000000000000000000000000100100000001000000000100000000000001000000000000000100000000000000000000001000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000001000000100000000000001010000000000001000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000001000000001000000000000000000001000111010100110111110000101111110100000100011000
KK,21,27,31,27,1,1973mb,2024-03-19,30,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000100000100000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000001000001000000000000000000100000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001100000100010000001000000000000000000000000000
KK,21,28,32,28,1,1973mb,2024-03-19,30,101100010000000000000001000000000000000100000000000000100000000000000000000000000000001000010011000001001001000010000000000000000001000100000000100000010000000100000010000000000000010001000000000010111100100000000000000000000001001010000000001000100101000000000000000000000100000000000000000000001000000000100100000010000010000000000000000000000000000000101000000000100100011000100000000000001100100010010100000000010000000000010000000000000000000000000000000000000000000000000000000000001000000000100100000000000000000000000001000000000000000000100100000000000000000000100000000001000000000000001000010100011000001000000000100000000010000000000100000001000100000000000000000000000100010000000000000000000001000100100100000100000000000001001000010000000000000010000000000010000011000100000000000000001010111000000000010010000000000000000000010000100100001000000000000010000100000000000000000000000000000000000000000000010000000000010000100000000000000000000000000100100010000001000000001000000000000001000111000100110110111101001111001111111111000100
KK,21,30,26,30,1,1973mb,2024-03-19,30,111100111001011000000010001010010111111001010011011101111100011011110011001111111100010011100001111111100110000000010010011011011011101111011110000010010101010100010010100001000000010000101010011110111011111111101011000000001011011110001011111110111011100000000010001111011011100000011000101011110011000011110011011110110110111000000000100010001000000111110110001101011100010000000001101000000100101011111111110101100100010110000000000000011111000111111010101010000100111011001111011010000000010100110010011101101000111100010111100000100001000000000110110000011110000000100001011001000100100000000010111111111100111010011011111110101010000000000001110110000000000000100000000000100101111000010000111100101101111110110111100001010000000110000000011000011011100100011000001111111000000000000000100001001110111101001110100100000000000010100001101010001001011000010001011100011101110001000000101111111100000010001000001110111110111100010000101010011000000111101000111010000011101010110000000001010000000011111000111110111111001111101101101111111110011111
KK,21,31,27,31,1,1973mb,2024-03-19,30,111111011011101101111110011111111101101101100000101111001110100001001110011110100001011001011111001010011011101111111001011001111110100001011111101110100000111100100011010011110110101101101100111000001111011111111111111000001011011111111100110111001110110001100011001010010001101100011110111010001010001100010001011110100001101010010001011001010011110000000010011011010010100100110000010111001100011111111110001110111000000011011011001101111111110100110101111110110011110011001111001111100000001000100011111000011011111001111011001010010001000101010000101110011001001101000000000001000000000000001100011100111000100100010111000100110110000110001011110000100000100011100011110110010000110000010000000101000001000000001011000100010000101101001000000000011100110000101101001111000001000101000000101000001011010010110011011110100011101010110101100000100010001000110111100000001010000010000000101101111011110011011000110001011010001110110010011110111000011000000001110000011011110110100101000001011000110111111100010101110011100001001001101011111101111110
KK,21,32,28,32,1,1973mb,2024-03-19,30,101010100010010000000000000000000001000000000000000000000000000010000000010000000000000000000000000000000010000000000000000000010000010000000000000000000000000000000101001100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001001000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000100000000100010000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000101000000000001010000000000000000000000000000001000001000000100000000000000001000000000000100000010000000010100000000000000000000000000000000010000000000000010001000010000000010100100000000001011000011011010101101101111111101000111100011100
KK,21,33,5,33,1,1979mb,2024-03-19,29,100001000111011000010100011010000001110000001000101110000001010101101001011111110110010100001001011011101010000110101000001111001100000011000011000011000100000010011000100000001000000000000010000000100000011111110101000101000100000000101000110100001001001101000100000111101011010100100011100001100001000101000010000000010000000001000001001110000000000000000010010001011001101100011000000000001010110100101001000001100000000000100000011010101000011000010001010001000001010100000010101101010010001100100101101100000011000000000001010000010001010000001011100101000110100010011000100010010101100001010000000101101111000000110000000000000001100000010101100000000010000000010110000010000101010101100000010100010000100001010000010011010000000100110010000000000000000000001000000000000001000010000000010000011010111100100101000000000000010100010000001000011000000000100010100010001100000100000010000000000000000001000000010100001000001000000101000010000000000000010010100000101000000000000000100000010000001010000011100111110100111100000111011111101101101101
